"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S2",21,0.898604527634042,2.80078059682996,4.42124878671162,-964.694092402456,0.807065735369325,15,4886.757,"x9*p0(x13)","p0(x6)","x6*(x6*x9)",1,0.999999999999903,0.999999993365238
"S3",21,0.86998673180144,3.10247703473804,5.00362569980499,-973.673381857766,0.752890702660285,18,5873.456,"sigmoid(p0(x13))*x9","x9*x6","x9",1,1,0.999999999999997
"S4",21,0.842858087902425,3.44303289536872,5.86483740127944,-974.666236473313,0.660506542713642,15,4142.825,"x1*sigmoid(x5*x13)","x11*x6","x11",1,0.999999999999878,0.999999999992521
"S5",21,0.809665506084226,3.73378567878505,7.38193181069793,-974.039817043686,0.462152053151304,23,4526.135,"x7*(x1*exp_dbl(x13))","x13","x10*x6",1,0.999999077139494,0.999999074220059
"S6",21,0.829318548530794,3.43026101795367,6.58473354991955,-975.248706441365,0.572047203362368,14,3649.696,"x1","x6*x11","x11",1,1,1
"S1",22,0.899510422859003,2.76196014398474,4.40112415854786,-959.372822445084,0.808818133310246,19,5428.303,"x9*p0(x13)","x6","x9*p3(x6)",1,1,0.999999999999361
"S2",22,0.863878545513734,3.17547520156363,5.30535561138179,-973.661568114426,0.722189628225723,17,4971.691,"x6","x9*x6","x9*sigmoid(x13)",1,1,1
"S3",22,0.888707721919806,3.00334780616324,4.62892974173552,-980.434615781199,0.7885144812113,15,5574.153,"x9*p0(x13*x6)","x11","x13*x9",1,0.999979361563827,0.999934013935037
"S4",22,0.807229138660288,3.78685919096365,7.37469717485779,-972.236073447436,0.463205768462299,15,4216.1,"x1*exp_dbl(x13)","p3(x6)*x10","p3(x6)",1,1,1
"S5",22,0.871038894343544,3.06482818334726,5.1837539872425,-974.258516990186,0.73477880858722,14,3823.779,"x9*p3(x6)","x9*sigmoid(x13)","p3(x6)",1,1,1
"S6",22,0.886292069765853,2.97228479845277,4.7460641874541,-976.810264336187,0.777675834045794,18,3694.838,"x6*x6","x9*(x6*x6)","p0(x13)*x9",1,1,1
"S1",23,0.900195650543266,2.81487329113668,4.39218932262337,-963.751382927937,0.809593591870541,20,5151.83,"x9*troot(x13)","x9*x13","p0(x6)",0.99999999999996,0.999999999969938,0.999999994327887
"S2",23,0.811900682301003,3.73208919847313,7.23334515895915,-971.092557324547,0.483586205001253,16,4964.031,"x10*x6","exp_dbl(x13)*x1","x10",1,1,1
"S3",23,0.863291021260365,3.15167339290848,5.39919265524601,-975.859688035399,0.712275326785157,15,5767.875,"troot(x6)","(sigmoid(x13)*x5)*x9","x9*p3(x6)",1,1,1
"S4",23,0.834058853747248,3.40781076369426,6.66696246183125,-964.45191256021,0.561292078292227,18,4316.47,"x10","x6*x10","x6",1,1,1
"S5",23,0.884441721086656,2.94487529207864,4.69996623352363,-990.883548652645,0.781973676051638,15,3906.254,"x9","p3(x6)","p3(x6)*p3(x10)",1,1,1
"S6",23,0.863380347642064,3.10594105487463,5.46889186409849,-979.24032421281,0.704798792787588,11,3719.358,"x10*x13","x10*exp_dbl(x13)","x6",1,1,1
"S1",24,0.876228173027056,2.94172232547195,5.06557899981841,-962.718792736143,0.746733562057242,18,5074.875,"x6","x10*x6","x11",1,1,0.999999999473756
"S2",24,0.871235916054342,3.03173347684218,5.14900005640589,-968.462137395551,0.738323182088971,15,5116.024,"x13*x9","p3(x6)","x6*x9",1,1,1
"S3",24,0.883887790757003,2.94006631031903,4.72280195656616,-976.319816244992,0.779849880381371,17,5752.162,"x6*x6","x10","x1",1,1,0.999999999545773
"S4",24,0.827656039719566,3.50512703718561,6.69669804548999,-969.015853825286,0.557369953945499,16,4158.632,"x6","x10","troot(x6)*x10",1,1,1
"S5",24,0.889872079140753,2.78584702756326,4.59321711908066,-969.755413841478,0.791765153849976,13,4034.486,"x9*exp_dbl(p0(x13))","x6*x6","x6*(x6*((x6*x6)*x9))",1,1,0.999999999999987
"S6",24,0.819274309587255,3.5718563983048,6.9068643792588,-964.910959380276,0.529151367233067,11,3696.578,"x6*x6","x1*sigmoid(x13)","x10*x13",1,1,0.999999999998455
"S1",25,0.871240644226907,3.03108881779335,5.14861515260702,-968.462137395551,0.738362302941798,20,5069.417,"p3(x6)","sigmoid(x13)*x9","x6*x9",1,1,0.999999999999998
"S2",25,0.810487594388633,3.68004847854121,7.49171291726314,-970.896569860459,0.446035785751648,17,5079.488,"p3(x6)","x10*x13","x11",1,1,0.999999999999663
"S3",25,0.825343323190746,3.51592899412783,7.05687439215401,-964.981873297934,0.508476562295012,13,5900.996,"x11","x6*x9","x12",1,0.999999999999979,0.999998076461728
"S4",25,0.813366724368601,3.59017393216754,6.93164719068069,-968.014269233156,0.525766361487122,13,4179.403,"x6*x6","exp_dbl(x13)*x1","x10*x6",1,1,1
"S5",25,0.793165428641529,3.66012418573782,8.18476921665809,-975.087641095096,0.338800778881617,15,3967.365,"x9*x6","x9","sigmoid(x8*x13)",1,1,0.99999999778323
